index,timestamp,value_hex
1866874,2026-07-19T21:54:00.000Z,4dc82d8675d4ccae47777c8d1ad7c4df07f02e6a3967dc6edcb79eae51aa0b5c5dffe9dd4e54b70e7a1ec14646a0d3678eae84d8954ac717c95b556d91dac396
1866875,2026-07-19T21:55:00.000Z,2e31973f0f465ba9abad05d47c1ed3e7458da33ebd11eea890cdfd53746c1af67e714ae8ba850ec8386cff93e00ec26eff47df4fa1851b485ab69b9060becab2
1866876,2026-07-19T21:56:00.000Z,7c70209fa6a1e8e5daa487b2c00b279e9ce0fd73cfd73251333d508ef81d46d9e611535c0bf414d75ad5a0785a1fbe91661f4c4c67f07daeeb432b1a2ba2dc73
1866877,2026-07-19T21:57:00.000Z,799f6dc6e021e0f2c5f57f6782c09d73494c6708cfe037cecbc929388ed015c78c3b3178980467a712dd57ff38b2acbd4e07fde0b80ad6c757485f1b78a06421
1866878,2026-07-19T21:58:00.000Z,5354de3de6833a0df82a53854e0a0cb3074550e7911d52531ea324bc2360675b027bc23eedf88b3581e2ab9856fc30e9d201944dfd3b4d35dfd5942a17bccc34
1866879,2026-07-19T21:59:00.000Z,79da72f7698ad6a290232d2d14cb64491a3e2adf2fbd089865bf45073ea6cf84b2a26d13134af2f7455bfac9160378aeb0317d0861640d1ea128f1e91e61b3ac
1866880,2026-07-19T22:00:00.000Z,c217b100d2e03f3565c8378d96d3a9e7ba7944ec06ca9a9933a2b7f1875c07b764ab5bb52275d6b29f2da27114bbe1c1f25455b41f57582826920adf8cc13a65
1866881,2026-07-19T22:01:00.000Z,2496e63afccad65276c7c7887e6a269b57739cbafa31b3212ad5c1205f3ce2736f0fa8a12500c0736e2402bc23d6c5923a42c159d4a14e91b531b0aae61a57a6
1866882,2026-07-19T22:02:00.000Z,8a6f28d8fabca8cec6f371cf9b36bca7053f5aaf4394af610a403e6089dca7f0284558714f31129f7dd3e4ef4407b6ecd8794c03b39735bbed134f5ea3c3431f
1866883,2026-07-19T22:03:00.000Z,5e6352a89bbae2218165ccf4d4b26ecb9680858fcd1108977c0c029a19e3afa340bce0c322046abd12fba81780782489b25b388b0c93f937e85392bb89400ecd
1866884,2026-07-19T22:04:00.000Z,e70faf0089b436d26b4b9e513b22a5154170036fe43a833e5a076cbbe8632bf6c533f98515c6ef40a7ec2c95bd27ec2fe8782861aa1fff278d9ffe6c5a85e773
1866885,2026-07-19T22:05:00.000Z,d17844db0b372628eedb4bc37e44cb149f8670b9f7d2db9b2516599fb3d5269463af0ad9e85a4bdd888fb36541ac48be60e8c974fe7f5debf59bdd086fd2fbca
1866886,2026-07-19T22:06:00.000Z,588a8137a45776baaf47a3bac2448f41a36e1d6616fbbb9d2196c30f3ef2b221bce5404ff31c2c253877cf056ee8896d4537582e3806793a8e97db53243f1a33
1866887,2026-07-19T22:07:00.000Z,590200313df5e98e6bf915f1130e9c073e5b774222c30c8493e8b3d983712abb04176504f47d3ffa01a0e6e00ff398fb6c51b30fbfeca0c607f3d3e7949a2f07
1866888,2026-07-19T22:08:00.000Z,b5477ef95f0ceb7c56d8084a055ca6ab2d75c70b9cf51b3b8de309eb237b807aa0844cf22c3bdaab1afaa9f6bdff3e79d800567594d758533ff4ac834752cab8
1866889,2026-07-19T22:09:00.000Z,f1ba60c316cc481d1e621e152a1e39dcd8840188c9c596977121784c624a7643914582c3ea80d05a8ef24531292130b70d3c1b34f5d96bf2c27a86086220927d
1866890,2026-07-19T22:10:00.000Z,ae82636b15fda24c103254e51117b9ab0a9d2225b7f6b930c9b4b517c7210f2a2e5b86ffe56f1134e7afc43fce1ddf2c644348c763a431f1af9d04df12a027e8
1866891,2026-07-19T22:11:00.000Z,a7c8f7b14432a8d5eb1d45bd5d2efc2fb326ae12ca5ef1bd5bf5d84d13d16e55fa72221706d56ab8e93ae4658d1fa531951a0f6d004ec15481711aebf59249e0
